이름	품목	명산품	도시	성수기	평수기	비수기	설명
전통 가면	잡화	명산품	두알라/배서스트/베냉/비사우/상투메/엘미나/시에라리온/아비장/카보베르데/루안다	우기			알록달록한 나무 가면.다양한 표정이 매력적이다.
정향	향신료	명산품	딜리/마카사르/브루나이/쿠칭/홀로	봄/건기		가을/우기	정향나무의 꽃봉오리를 말린 향신료.자극적이지만 상쾌하고 달콤한 향이 특징이다.
제라늄	향료	명산품	카리비브/케이프타운/루안다	가을/우기		봄/건기	이집트가 원산지인 꽃.잎과 줄기에서 장미와 비슷한 향기가 나며 추출한 기름을 향료로 사용한다.
조선 활	무기류	-	한양/율도				
조젯	직물	-	라구사/마르세유/사사리/시라쿠사/칼리아리/산타섬	봄/건기	4계절	가을/우기	표면이 주름 모양인 직물.약간 매끄럽고 차가운 느낌이 있으며 얇아서 비쳐 보인다.
조총	총포류	-	에도				
종이	잡화	-	뤼베크/마르세유/베이루트/상트페테르부르크	우기	4계절		식물성 섬유를 원료로 사용해 만든 얇은 물건.주로 표면에다가 글을 쓰거나 그림을 그린다.
종이 우산	잡화	명산품	마카오/연운/천주	우기			대나무 뼈대에 기름먹인 한지를 붙여 만든 우산.사람보다 큰 우산도 있다고 한다.
주니퍼 베리	향신료	명산품	나르비크/그단스크/리가/베르겐/비스뷔/스톡홀름/오슬로/코콜라/레이캬비크/바르도	봄/건기		가을/우기	다양한 요리에 사용되는 파란 열매.진을 만들 때 사용하기도 한다.
주석	공업품	-	두알라/말라카/케이프타운/브레멘/플리머스/함부르크				
주석 광석	광석	-	롭부리/케이프타운/배서스트/자카르타/플리머스/함부르크	봄/건기	4계절	가을/우기	주석이 포함된 광석.주석과 구리를 섞으면 청동이 된다.
죽도	무기류	-	사카이/나하				
중국차	기호품	명산품	마카오/연운/천주	가을/건기	4계절	봄/우기	명에서 많이 생산하고 애용하는 차.일상에서 차를 마시는 습관은 중국이 세계에서 가장 오래되었다.
중국화	미술품	명산품	북경/서안/중경				
지리바꽃	의약품	-	연운	봄/우기	4계절	가을	투구꽃의 뿌리.맹독을 지니고 있지만, 미량은 진통제로 쓴다.
진	주류	명산품	그로닝겐/암스테르담	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
진달래	향료	명산품	한양	가을/우기		봄/건기	참꽃 또는 두견화라고 불리는 붉은 꽃.약재로 쓰이며 술을 담글 때 사용하기도 한다.
진사	광석	-	말라가/발렌시아/알제	봄/건기		가을/우기	수은이 포함된 광석.수은의 원료, 붉은색 염료, 약재 등 널리 사용된다.
진주	보석	-	다바오/마닐라/왕거누이/팔렘방/홀로/아투오나/마히나/수바	여름/우기		겨울/건기	진주조개에서 얻을 수 있는 동그란 보석.완벽한 구체에 가까울수록 가치가 높다.
진주 공예품	공예품	-	두알라/상투메/카보베르데				
진주조	식료품	-	두알라/배서스트/비사우/엘미나/카보베르데	가을/건기	4계절	봄	고대부터 재배했던 곡물.건조하고 척박한 땅에서도 잘 자란다.
진주조개	식료품	명산품	사마라이/왕거누이	가을/건기		봄	일곱 가지 색의 아름다운 광택을 발하는 조개.아름다운 진주를 품고 있을 때도 있다.
차	기호품	-	마카오/항주	가을/건기		봄/우기	차나무의 어린잎을 따서 만든 음료.네덜란드 동인도 회사가 동양의 차를 교역하면서 유럽 각국에 널리 퍼지기 시작했다.
참기름	조미료	-	한양/나하	여름/건기		겨울	참깨를 눌러 짜내 얻는 식용유.동아시아 문화권에서 자주 쓰이는 전통적이고 대표적인 식물성 기름이다.
참깨	조미료	-	나탈/무스카트/벵가지/알렉산드리아	여름/건기		겨울	고소한 맛과 향기를 가진 조미료.날씨의 영향을 적게 받는 작물로 재배 역사가 매우 오래되었다.
찹쌀	식료품	-	단나하/에조	가을/건기		봄	찰기가 있는 쌀.떡이나 찐 밥의 재료로 사용한다.
창	무기류	-	칸디아/아르한겔스크/아테네/천주/코르프/오호츠크				
철광석	광석	-	뤼베크/아비장/알제/카라카스/쿠칭/핀자라	봄/건기	4계절	가을/우기	철을 함유한 광석.구리 광석보다 흔하지만, 제련이 까다롭다.
철재	공업품	-	더블린/바르셀로나/암스테르담/쿠칭				
철퇴	무기류	-	고아/마실리파트남/캘리컷		4계절		
철화 백자	공예품	명산품	동래/한양		4계절		
청금석	보석	명산품	마사와/호르무즈/바그다드	여름/우기	4계절	겨울/건기	짙은 청색의 투명한 보석.빛깔이 아름답고 광택이 유리 같아 장신구와 조각에 널리 쓰인다.
청동	공업품	-	다바오/런던/발파라이소/툼베스/플리머스				
청동상	미술품	-	나폴리/칼리아리		4계절		
청어 절임	식료품	명산품	암스테르담	가을/건기	4계절	봄	청어를 염장해서 만든 보관 음식.청어는 주요 바다 식량원으로 어획량의 변동이 커 지역 경제를 좌지우지했다.
청주	주류	명산품	나가사키	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
청화 백자	공예품	-	단나하/항주				
초롱	잡화	명산품	한양	우기	4계절		불붙인 초를 종이 등으로 감싼 조명 기구.길을 비추거나 사람의 위치를 알리는 휴대용 등이다.
초석	광석	-	나탈/켈리마느	봄/건기		가을/우기	불을 붙이면 빠른 속도로 타오르는 광석.화약의 주재료로 사용된다.
촉금	직물	명산품	서안				
치자나무	향료	명산품	나하	가을/우기	4계절	봄/건기	동아시아에 서식하는 상록 관목.향기가 일품이며 겹꽃은 장미를 닮은 아름다운 순백의 꽃으로 유명하다.
치즈	식료품	-	포르투/베르겐/앤트워프/플리머스/포트사이드/산타섬	가을/건기		봄	소, 염소, 물소, 양 등 동물 젖에 있는 단백질이 응고된 식료품.인류가 오래전부터 만들어 온 식품 중 하나이다.
치클	기호품	명산품	메리다/베라크루스	가을/건기		봄/우기	멕시코 원산의 나무 열매에서 채집한 수액.선주민들은 탄성이 있는 고체로 만들어 씹는 것을 즐긴다.
칠기	공예품	명산품	에도				
칠면조	가축	-	누탁/코하셋/아비앗/터코마	겨울/건기	4계절	여름	닭과 비슷하게 생겼으며 닭보다 상당히 큰 편인 가축.칠면조라는 이름은 얼굴에서 목에 이르는 피부색이 7가지라고 해서 붙은 이름이다.
침향	향료	-	반자르마신/브루나이/프레이노코르/파사이	가을/우기		봄/건기	팥꽃나무과 식물인 침향의 나뭇진이 스며든 나뭇조각.침향은 "물속에 가라앉은 향나무"라는 뜻이다.
카다멈	향신료	-	고아/실론/캘커타	봄/건기		가을/우기	생강과에 속하는 식물의 씨앗으로 만든 향신료.강한 향과 달콤하면서도 자극적인 맛을 가지고 있다.
카모마일	의약품	-	상트페테르부르크/세우타/암스테르담/앤트워프	봄/우기		가을	사과 향이 나는 국화과 식물.식물에서 얻은 기름은 통증과 염증에 효능이 있다.
카민	염료	-	리우데자네이루/코피아포	여름/우기		겨울/건기	암컷 연지벌레에서 얻는 붉은색 천연염료.연지벌레가 코치닐 선인장에 붙어 있어서 코치닐이라고도 한다.
카사바	식료품	-	바이아/카옌	가을/건기		봄	열대지방에서 주로 재배하는 탄수화물이 풍부한 구황작물.남아메리카 원주민들의 주식 중 하나이다.
카카오	기호품	명산품	산티아고/산후안/페르남부쿠/하바나	가을/건기		봄/우기	아메리카 열대 지방이 원산지인 굉장히 쓴 열매.피로 해소 효과가 있으며 영국에서는 코코아라고 부른다.
캐러웨이 열매	조미료	명산품	뤼베크/브레멘	여름/건기		겨울	달콤하고 쌉싸름한 맛이 나는 열매.말려서 사용한다.
캐비아	기호품	명산품	바르나/오데사/케르치/타간로크/트라브존	가을/건기		봄/우기	생선류 특히 철갑상어알을 소금에 절인 식품.희귀함과 풍미로 인해 최고급 식자재로 평가받는다.
캐슈너트	기호품	-	과테말라/파나마	가을/건기		봄/우기	캐슈나무라는 식물의 열매.누르스름한 빛깔에 둥글게 구부러진 모양이 특징이다.
캐시미어	직물	명산품	고아	봄/건기		가을/우기	양모로 짠 고급 옷감.보온성이 높고 튼튼하다.
캥거루고기	식료품	명산품	카카투와/가리/호바트	가을/건기		봄	호주에서 서식하는 초식 동물인 캥거루의 고기.붉은 살코기 부분은 지방이 적고 담백하다.
커민	향신료	-	마사와/카이로/캘리컷	봄/건기		가을/우기	미나릿과에 속하는 식물인 커민의 씨로 만든 향신료.다른 향신료의 향을 모두 감출 정도로 자극적인 향과 매운맛이 특징이다.
커피	기호품	-	사우스사이드/두알라/시에라리온/아르긴/루안다/하바나	가을/건기		봄/우기	독특한 풍미가 있는 갈색에 가까운 기호 음료.에티오피아의 산악지대에서 기원한 것으로 알려졌다.
컴퍼스	잡화	-	북경	우기			원 등을 작도할 때 쓰는 기구.여러 가지 수학적 복잡한 계산에 유용하게 사용된다.
코듀로이	직물	-	마르세유/몽펠리에	봄/건기		가을/우기	골이 지게 짠 옷감으로 흔히 "코르덴"이라 불린다.어원은 프랑스어로 "임금님의 밭이랑" 이란 뜻이며 왕이나 왕족이 입는 고급스러운 직물에서 유래했다.
코케시	잡화	명산품	나가사키/사카이/나하/에조	우기			나무로 만든 전통 인형.어린 아이들을 위해 만들어졌다.
코코넛	기호품	-	괌/다바오/딜리/마라카이보/마카사르/반다/팡칼피낭/사마라이/수라바야/카르타헤나/홀로	가을/건기		봄/우기	코코스야자의 열매.연한 녹색의 열대과일로 즙이 많아 음료로 마신다.
코코넛식초	조미료	-	소팔라/모잠비크	여름/건기		겨울	코코넛으로 만든 식초.부드럽고 깊은 맛이 난다.
콜키쿰	의약품	명산품	니코시아/바르나/오데사/튀니스	봄/우기		가을	통풍을 치료한다고 알려진 약초.유럽과 북아프리카의 습한 들에서 주로 자란다.
콩	식료품	-	마실리파트남/바이아/오데사/페구	가을/건기		봄	동북아시아 원산의 희고 딱딱한 곡물.단백질 함량이 높아서 "밭의 소고기"라는 별칭을 가지고 있다.
콩소메	조미료	-	보르도/브리스톨	여름/건기		겨울	맑은 고깃국물로 된 수프.다른 요리의 국물로 사용하기도 한다.
콩크 진주	보석	명산품	사우스사이드/나사우/산토도밍고/산티아고/산후안/포트로열/하바나	여름/우기		겨울/건기	카리브에 서식하는 콩크 조개의 진주.아름다운 분홍색 광택을 볼 수 있다.
쿠트누	직물	명산품	니코시아/베이루트/야파/트라브존/안탈리아	봄/건기		가을/우기	비단실과 목화실을 섞어 짜낸 아름다운 직물.4천여 가지의 무늬 이름이 있다고 한다.
퀴노아	식료품	-	리마/코피아포/툼베스	가을/건기		봄	남아메리카 안데스산맥의 고원에서 자라는 곡물.이름은 "모든 곡식의 어머니"라는 뜻의 고대 잉카어에서 유래했다.
큐베브	향신료	명산품	수라바야/자카르타				
크랜베리	기호품	명산품	코하셋	가을/건기	4계절	봄/우기	상큼한 맛의 붉은빛 과일.열매가 달릴 때 가지 모양이 "학"을 닮았다 하여 크랜베리라는 이름이 붙었다.
크롬 광석	광석	-	마라카이보/바이아/카르타헤나/페르남부쿠	봄/건기		가을/우기	광물이 부식되지 않도록 도와주는 광석.물감 안료로도 사용된다.
크리스	무기류	명산품	수라바야/자카르타				
타라곤	향신료	-	몽펠리에/사사리/칼비	봄/건기	4계절	가을/우기	허브의 여왕이라고 불리는 향신료.달콤한 향과 매콤하고 쌉싸름한 맛을 느낄 수 있다.
타마린드	조미료	명산품	말린디/모가디슈/몸바사/킬와	여름/건기		겨울	단단한 외피에 싸인 과일에서 얻는 새콤달콤한 조미료.설탕에 절이거나 잼을 만들고 영양이 풍부해서 그냥 먹기도 한다.
타임	향신료	-	아조레스/팔마	봄/건기		가을/우기	잎을 건조해 요리에 이용하는 향신료.고대 그리스 사람들은 타임을 용기나 기품의 상징으로 여겼다.
탄환	총포류	-	세비야/브리스톨/히혼				
태피스트리	미술품	명산품	앤트워프/덴헬데르		4계절		
터키석	보석	명산품	호르무즈	여름/우기	4계절	겨울/건기	선명하고 밝은 하늘색의 보석.튀르키예를 거쳐 유럽에 소개된 연유로 붙은 이름이다.
테라 베르데	염료	명산품	라구사/시라쿠사/안코나/자다르/트리에스테/피사	여름/우기		겨울/건기	고대 로마부터 사용된 녹색의 안료.아름다운 올리브색을 낸다.
테라코타	공예품	명산품	베냉/엘미나				
테킬라	주류	명산품	사우스사이드/포트로열/하바나	겨울/건기	4계절	여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
토끼	가축	-	브리스톨/코르프/오호츠크	겨울/건기		여름	고기와 털을 얻기 위해 기르는 가축.
토끼털	섬유	-	브리스톨/상트페테르부르크	겨울/우기		여름	토끼의 털로 부드럽고 보온성이 높다.귀마개나 니트, 조끼 등을 만들 때 쓰인다.
토란	식료품	-	딜리/말라카/팡칼피낭/수라바야/왕거누이/하와이/아투오나	가을/건기		봄	열대 아시아 원산의 뿌리채소.땅의 달걀이라는 의미이며 주로 조림 요리의 재료로 사용한다.
토마토	식료품	-	과테말라/아카풀코/파나마/터코마	가을/건기		봄	남아메리카 고산지대가 원산지인 식용식물.대체로 새콤하고 살짝 단맛이 난다.
토파즈	보석	명산품	리우데자네이루/카옌/소다섬	여름/우기		겨울/건기	투명하고 깨지기 쉬운 보석.고대에는 신성한 돌로 여겼으며 악귀를 쫓아내는 부적으로 사용했다고 한다.
통나무	공업품	-	라스팔마스/아조레스				
투창	무기류	-	더블린/어널래스카		4계절		
툼바가	공예품	-	리마/툼베스/페르남부쿠		4계절		
트날락	직물	명산품	다바오/딜리/마닐라/마카사르/반다/반자르마신/팡칼피낭/브루나이/수라바야/아체/암본/자카르타/쿠칭/테르나테/파사이/팔렘방/홀로	봄/건기	4계절	가을/우기	마닐라 삼으로 만든 아름다운 직물.흰색은 순결. 빨간색은 피, 검은색은 흙을 의미한다.
트위드	직물	-	그로닝겐/낭트/보르도/암스테르담	봄/건기		가을/우기	양모의 두꺼운 실로 짠 옷감.다소 거친 느낌을 주며 습기에 강하고 튼튼한 것이 특징이다.
티리언 퍼플	염료	-	베이루트/야파/튀니스/포트사이드	여름/우기		겨울/건기	조개류에서 채취하는 자줏빛의 귀한 염료.만드는 과정이 어렵고 엄청난 노동력이 필요해 가격이 매우 높았다고 한다.
티아레 꽃	향료	명산품	하와이/아투오나/마히나/수바	가을/우기		봄/건기	모노이라고도 부르는 아름다운 흰 색의 꽃.달콤한 향이 매력적이다.
파스타	식료품	명산품	나폴리/시라쿠사	가을/건기		봄	물과 밀가루를 사용하여 만드는 이탈리아 국수 요리.데치거나 수프로 만들어서 먹는다.
파슬리	향신료	-	말라카/베네치아/알제/파루/덴헬데르	봄/건기		가을/우기	지중해 원산의 향초.고대 로마인들의 생활에서 빠질 수 없는 향신료 중 하나였다.
파인애플	기호품	명산품	사우스사이드/산티아고	가을/건기		봄/우기	대표적인 열대 과일 중 하나.마가야네스 함대의 항해사가 세상에서 제일 맛있는 과일이라고 기록했다.
파초	섬유	명산품	서안/중경	겨울/우기		여름	큰 나뭇잎을 가진 식물.오키나와에서 파초의 섬유로 "파초포"라는 천을 짜는데 류큐 왕국 시절부터 유명한 수출품이었다고 한다.
파파야	기호품	-	포를라마르/하와이	가을/건기		봄/우기	열대 아메리카가 원산지인 열대 과일의 일종.콜럼버스가 "천사의 과일"이라 표현한 과일이다.
파피루스	잡화	명산품	알렉산드리아/카이로	우기			고대 종이를 상징하는 유명한 식물.고대 이집트에서는 문서를 기록하는 용도로 썼다.
판야	섬유	명산품	롭부리/말라카/프레이노코르	겨울/우기		여름	케이폭이라고도 부르는 판야 열매로 만든 섬유.탄력이 있고 가벼워 베개나 방석 등의 충전재로 사용한다.
팔각	향신료	명산품	중경/항주	봄/건기		가을/우기	중국 원산의 향신료."스타 아니스"라고도 불리며 달콤한 향을 낸다.
팥	식료품	-	마사와/배서스트/수에즈/시에라리온/알제/튀니스	가을/건기		봄	다양한 요리의 재료로 사용되는 알맹이가 작은 콩.삶으면 단맛이 강해진다.
페타 치즈	식료품	명산품	칸디아/테살로니키	가을/건기		봄	아주 짠 맛이 나는 부드러운 치즈.그리스식 요리에서 자주 찾아볼 수 있다.
펜넬	향신료	-	낭트/카사블랑카	봄/건기		가을/우기	고대 이집트 파피루스에도 기록된 유서 깊은 식물.육류의 누린내와 생선의 비린내를 제거할 때 많이 사용한다.
펠트	직물	명산품	상트페테르부르크	봄/건기		가을/우기	양모 등에 압력을 가해 만든 두툼한 천.보온성이 뛰어나며 모자나 양탄자 등을 만드는 데 쓰인다.
포도	식료품	-	보르도/피사	가을/건기		봄	포도나무의 열매.향미가 좋고 과즙이 풍부하여 널리 사랑받는 과일이다.
포도주	주류	-	낭트/보르도/칼리아리	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
포도주식초	조미료	-	말라가/바르셀로나	여름/건기		겨울	포도주가 원료인 식초.붉은 식초와 흰 식초가 있는데 각각 풍미가 다르다.
포탄	총포류	-	리스본/포르투/파루				
푸스틱	염료	-	리우데자네이루/발파라이소/카옌	여름/우기	4계절	겨울/건기	중남아메리카산 나무.나무껍질은 황색이나 갈색을 추출하는 천연염료로 사용한다.
푸에블로 도자기	공예품	명산품	오론				
플란넬	직물	명산품	도버/런던/브리스톨	봄/건기	4계절	가을/우기	영국 웨일스 지방에서 생산되기 시작한 얇은 모직물.부드럽고 촉감이 좋으며 보온성이 굉장히 높다.
피망	향신료	-	마라카이보	봄/건기		가을/우기	가짓과에 속하는 고추의 일종.고추와 달리 매운맛이 강하지 않다.
피스타치오	기호품	명산품	도파르/아덴/도하	가을/건기		봄/우기	튀르키예 남동부 원산의 견과류.페르시아어로 "피스타"라는 이름이 고대 로마로 전해지면서 피스타치오라고 불리게 되었다.
피클	기호품	-	트리폴리/피사	가을/건기		봄/우기	채소나 과일과 함께 향신료를 넣고 담근 절임.네덜란드어로 바닷물이라는 뜻의 단어가 어원으로 추정된다.
피투리	기호품	명산품	괌/사마라이/왕거누이/카카투와/가리/핀자라/호바트/포트피리	가을/건기		봄/우기	호주의 전통 기호품.반달 모양의 가방에 담아 거래한다.
핑크 다이아몬드	보석	명산품	가리/핀자라/포트피리	여름/우기		겨울/건기	분홍색을 띠는 다이아몬드.구하기가 어려워 매우 귀하게 취급된다.
한지	잡화	명산품	동래	우기			조선 고유의 기법으로 제조한 독특한 종이.닥나무나 삼지닥나무 껍질이 원료이며 여러 공법을 거쳐 완성된다.
해당화	향료	명산품	단나하	가을/우기		봄/건기	장미과에 속하는 붉은 자주색 꽃.색이 곱고 향이 좋아 관상용으로 유명하며 염료, 향료로 사용된다.
핸드 캐논	총포류	명산품	리스본/포르투				
햄	식료품	-	리스본/암스테르담	가을/건기	4계절	봄	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 인도, 말레이
향나무	공업품	명산품	덕원				
향수	향료	-	알렉산드리아/카이로/바그다드/포트사이드	가을/우기	4계절	봄/건기	알코올 등 휘발성 물질에 향료를 녹여서 만든 화장품.인류가 최초로 사용한 화장품이라고 볼 수 있다.
향쑥	의약품	-	비스뷔/바르나/스톡홀름/오데사/케르치	봄/우기		가을	성서에도 등장하는 약초.대량으로 섭취하면 신경이 마비된다고 한다.
허브기름	조미료	-	발렌시아/안코나	여름/건기		겨울	향초로 향을 낸 식용유.다양한 요리에 사용한다.
허브소금	조미료	-	베이루트/팔마	여름/건기		겨울	말린 향초 가루를 섞은 소금.다양한 요리에 사용한다.
허브식초	조미료	-	도버/이스탄불/자다르	여름/건기		겨울	향초로 향을 낸 식초.다양한 요리에 사용한다.
헛개나무 열매	의약품	-	천주/항주	봄/우기		가을	넓은 잎을 가진 활엽수의 열매.숙취에 효능이 있는 것으로 알려져 있다.
헝가리 워터	향료	명산품	낭트/보르도/칼레	가을/우기		봄/건기	최초의 향수.어느 여왕이 만들었는지 확실하지 않다.
헤나	염료	명산품	마실리파트남/캘커타				
호두	기호품	명산품	마카오/연운/항주	가을/건기	4계절	봄/우기	딱딱한 껍질에 싸여 있는 열매.씨가 향기롭고 맛있다.
호밀	식료품	-	베르겐/스톡홀름/코콜라/팔렘방	가을/건기		봄	유럽 남동부와 중앙아시아가 원산지인 곡물.열매 가루는 빵, 국수 등을 만들거나 위스키 제조에 쓴다.
호박	보석	-	그단스크/뤼베크/코콜라/코펜하겐	여름/우기		겨울/건기	고대 나뭇진의 화석으로 노랗고 부드러운 보석.내부에 모기나 벌레 등이 들어 있는 것은 귀해서 값이 비싸다.
호박단	직물	명산품	시라즈/바그다드	봄/건기		가을/우기	광택이 있는 얇은 직물.태피터라고도 불리며 올이 매우 촘촘하다.
호안석	보석	명산품	제주	여름/우기		겨울/건기	금빛으로 반짝이는 보석.갈고 닦으면 호랑이의 눈처럼 보여서 붙은 이름이다.
호필	공예품	명산품	북경/연운/천주				
홍두	향신료	명산품	배서스트/비사우/시에라리온/아비장	봄/건기	4계절	가을/우기	아프리카 원산인 콩.종자의 빛깔 때문에 홍두란 이름이 생겼고 로저리 피라고도 불린다.
홍차	기호품	명산품	디우/실론/캘리컷	가을/건기		봄/우기	찻잎을 발효 시켜 마시는 대표적인 차.동양에서는 우러난 차의 빛깔을 보고 홍차라고 하지만, 서양에서는 찻잎의 색깔을 보고 흑차라고 부른다.
화승총	총포류	-	세비야/바르셀로나				
화약	총포류	-	세비야/도버/알렉산드리아		4계절		
화창	총포류	명산품	북경		4계절		
활	무기류	-	그로닝겐/칼레/바르도		4계절		
황금 잔	공예품	명산품	그로닝겐/앤트워프/덴헬데르		4계절		
황단	공업품	명산품	두알라/루안다/벵겔라		4계절		
황동 향로	미술품	명산품	덕원/동래/영일/제주/율도		4계절		
황동상	미술품	명산품	베냉		4계절		
황마	섬유	-	사사리/세우타	겨울/우기	4계절	여름	열대에서 자라는 삼의 일종.줄기에서 채취한 섬유는 포대를 짜고, 씨와 잎은 약용으로 쓰인다.
황철 광석	광석	-	도파르/바르셀로나/수에즈	봄/건기		가을/우기	황을 함유한 광석.겉보기에는 금과 아주 흡사하게 생겨 "바보의 금"이라는 별칭을 가지고 있다.
황토	염료	-	서안/천주	여름/우기		겨울/건기	바람에 의해 운반되어온 황갈색의 미세한 모래와 점토.알갱이를 부숴 고운 모래로 만들어 물을 붓고 염료로 사용한다.
후추	향신료	명산품	고아/베네치아/아체/알렉산드리아/캘리컷/코친	봄/건기		가을/우기	인도 남부 원산의 향신료.역사에 큰 영향을 끼친 향신료로 사치품에 가까웠다.
흑단	공업품	명산품	브루나이/암본/자카르타/테르나테/홀로				
흑식초	조미료	명산품	북경/항주	여름/건기	4계절	겨울	쌀, 현미, 율무 등의 곡류로 만든 짙은 빛의 식초.장기간 숙성한 것으로 독특한 풍미가 있다.
흑연	광석	-	다바오/더블린/플리머스	봄/건기		가을/우기	문자를 쓸 수 있는 검고 부드러운 돌.처음에는 목장에서 양의 구분이나 울타리 표시에 사용했지만, 지금은 포탄의 재료로도 쓰인다.
흑요석 곤봉	무기류	-	메리다/베라크루스/트루히요/포르토벨로				
흑진주	보석	명산품	괌/어널래스카/왕거누이/하와이/아투오나/마히나/수바	여름/우기	4계절	겨울/건기	검은빛의 진주.희소성이 있어 평범한 진주보다 가치가 높다.
가다랑어	식료품	-	사사리/세우타	겨울/우기	4계절	여름	열대에서 자라는 삼의 일종.줄기에서 채취한 섬유는 포대를 짜고, 씨와 잎은 약용으로 쓰인다.
